Date,TemperatureHighC,TemperatureLowC,DewpointHighC,DewpointLowC,PrecipitationSumCM,GustSpeedMaxKMH,WindSpeedMaxKMH,PressureMaxhPa,PressureMinhPa
                
 01 May,10.7222222222,5.72222222222,8.22222222222,4.38888888889,0.0,9.36638208,3.04076608,345.72,1014.56189238,1011.17550422
 02 May,15.3888888889,5.88888888889,9.22222222222,5.0,1.778,23.75391744,15.30039104,936.12,1008.4663937,1005.75728317
 03 May,14.5,3.88888888889,8.77777777778,1.5,0.254,31.31783424,16.0082394353,1001.56,1009.48231014,1006.09592198
 04 May,10.7222222222,3.0,3.77777777778,-0.888888888889,0.0,49.68044928,26.43973376,1003.4,1019.98011344,1009.14367133
 05 May,11.3888888889,0.888888888889,4.27777777778,-1.0,0.0,20.16508032,11.2237543906,1024.56,1021.3346687,1016.25508646
 06 May,11.6111111111,2.38888888889,4.88888888889,-1.38888888889,0.0,18.36261504,9.19124758588,983.46,1017.60964172,1012.53005949
 07 May,15.3888888889,3.27777777778,5.77777777778,1.77777777778,0.0,14.75768448,5.25119480471,905.29,1012.8686983,998.307229219
 08 May,15.1111111111,7.5,10.7222222222,2.88888888889,13.716,31.31783424,8.40834906353,959.12,998.645868035,982.391204873
 09 May,11.6111111111,7.0,9.77777777778,6.11111111111,4.826,20.16508032,11.1000032,925.71,999.323145667,984.761676584
 10 May,15.3888888889,3.72222222222,8.61111111111,3.11111111111,3.556,23.75391744,15.26105152,974.29,1004.4027279,998.984506851
 11 May,14.7222222222,3.27777777778,8.22222222222,2.72222222222,0.0,25.55638272,16.34020608,963.03,1024.38241804,1004.4027279
 12 May,11.2222222222,-0.111111111111,6.11111111111,-1.0,0.0,7.19376768,4.18071808,469.28,1029.46200028,1024.38241804
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
