 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 17 May,13.8888888889,9.72222222222,10.7222222222,7.11111111111,0.0,27.71290368,9.58096128,378.26,1004.06408909,1000.33906211,C, km/h, hPa, mm
 18 May,15.5,6.11111111111,10.8888888889,5.38888888889,0.254,16.56014976,8.13970432,723.13,1002.37089501,998.984506851,C, km/h, hPa, mm
 19 May,18.7777777778,3.72222222222,11.7222222222,3.27777777778,0.0,16.56014976,8.6591648,972.08,1004.74136672,1002.03225619,C, km/h, hPa, mm
 20 May,18.8888888889,9.38888888889,11.7777777778,7.22222222222,0.0,20.16508032,12.2830814118,917.03,1009.48231014,1004.4027279,C, km/h, hPa, mm
 21 May,18.7777777778,7.11111111111,10.7777777778,4.38888888889,0.0,23.75391744,14.1660138918,913.12,1013.54597593,1009.14367133,C, km/h, hPa, mm
 22 May,20.6111111111,5.22222222222,10.2222222222,2.5,0.0,16.56014976,7.21880192,961.68,1014.56189238,1010.49822659,C, km/h, hPa, mm
 23 May,22.2222222222,4.27777777778,11.6111111111,3.38888888889,0.0,16.56014976,6.81888519529,919.6,1011.51414304,1007.11183843,C, km/h, hPa, mm
 24 May,20.1111111111,5.72222222222,13.2222222222,4.77777777778,0.0,20.16508032,8.76429808941,994.22,1012.19142067,1009.14367133,C, km/h, hPa, mm
 25 May,21.3888888889,10.7777777778,13.1111111111,8.38888888889,0.0,16.56014976,8.83976896,958.63,1013.20733712,1009.48231014,C, km/h, hPa, mm
 26 May,18.7222222222,8.88888888889,14.7222222222,6.27777777778,1.778,23.75391744,7.67925312,964.74,1010.15958777,1003.38681146,C, km/h, hPa, mm
 27 May,17.2777777778,6.27777777778,10.5,5.11111111111,1.778,27.71290368,10.2416864,1304.84,1005.75728317,1001.01633975,C, km/h, hPa, mm
 28 May,16.2777777778,6.61111111111,10.1111111111,5.38888888889,0.508,27.71290368,13.6993041318,1027.62,1011.85278185,1001.35497856,C, km/h, hPa, mm
 29 May,14.3888888889,4.22222222222,13.0,3.22222222222,1.016,27.71290368,7.11955904,683.61,1012.8686983,1008.80503251,C, km/h, hPa, mm
 30 May,23.2222222222,12.7777777778,16.7777777778,9.61111111111,0.0,27.71290368,7.06054976,1159.5,1016.93236409,1009.82094896,C, km/h, hPa, mm
 31 May,20.3888888889,11.7222222222,13.8888888889,9.72222222222,0.0,18.36261504,6.56423017412,1030.19,1017.27100291,1013.88461475,C, km/h, hPa, mm
